"date","confirmed","confirmed_cum","deaths","deaths_cum","tests","tests_cum","positives","positives_cum","recovered","recovered_cum","hosp","hosp_cum","icu","icu_cum","vent","vent_cum","vaccines","vaccines_cum"
2022-02-01,29580,2227660,77,3821,92547,61151036,29580,2227660,0,311270,7,4954,3,374,17,132,262036,49926171
2022-02-02,37444,2265104,70,3891,130347,61281383,37444,2265104,0,311270,-289,4665,-26,348,1,133,266736,50192907
2022-02-03,41168,2306272,84,3975,110188,61391571,41168,2306272,0,311270,-71,4594,-32,316,-7,126,256965,50449872
2022-02-04,28815,2335087,84,4059,100240,61491811,28815,2335087,0,311270,-145,4449,-1,315,7,133,254407,50704279
2022-02-05,24682,2359769,83,4142,106001,61597812,24682,2359769,0,311270,-194,4255,-12,303,-4,129,248477,50952756
2022-02-06,21389,2381158,46,4188,88170,61685982,21389,2381158,0,311270,-108,4147,-17,286,-6,123,128581,51081337
2022-02-07,20595,2401753,46,4234,82525,61768507,20595,2401753,0,311270,-231,3916,-12,274,-8,115,70718,51152055
2022-02-08,24661,2426414,55,4289,86132,61854639,24661,2426414,0,311270,-115,3801,-3,271,1,116,217265,51369320
2022-02-09,27748,2454162,70,4359,113891,61968530,27748,2454162,0,311270,-213,3588,3,274,-2,114,221125,51590445
2022-02-10,26591,2480753,58,4417,94636,62063166,26591,2480753,0,311270,-174,3414,-7,267,-8,106,215521,51805966
2022-02-11,23982,2504735,51,4468,94999,62158165,23982,2504735,0,311270,-120,3294,-11,256,-7,99,202530,52008496
2022-02-12,19931,2524666,65,4533,77763,62235928,19931,2524666,0,311270,-168,3126,1,257,-5,94,203969,52212465
2022-02-13,21407,2546073,47,4580,82504,62318432,21407,2546073,0,311270,-116,3010,-34,223,-8,86,109070,52321535
2022-02-14,17052,2563125,25,4605,71992,62390424,17052,2563125,0,311270,59,3069,8,231,6,92,49887,52371422
2022-02-15,21003,2584128,50,4655,57711,62448135,21003,2584128,0,311270,-120,2949,-9,222,-4,88,170278,52541700
2022-02-16,15590,2599718,64,4719,102972,62551107,15590,2599718,0,311270,-211,2738,1,223,-2,86,157068,52698768
2022-02-17,34462,2634180,66,4785,105258,62656365,34462,2634180,0,311270,-61,2677,1,224,1,87,160271,52859039
2022-02-18,22375,2656555,40,4825,89883,62746248,22375,2656555,0,311270,-149,2528,-16,208,-3,84,151720,53010759
2022-02-19,19163,2675718,45,4870,79118,62825366,19163,2675718,0,311270,-91,2437,-18,190,-6,78,156810,53167569
2022-02-20,15296,2691014,33,4903,66652,62892018,15296,2691014,0,311270,-45,2392,-6,184,-6,72,88029,53255598
2022-02-21,14854,2705868,17,4920,50719,62942737,14854,2705868,0,311270,24,2416,-5,179,-4,68,41619,53297217
2022-02-22,19762,2725630,37,4957,82207,63024944,19762,2725630,0,311270,-1,2415,-8,171,-14,54,141967,53439184
2022-02-23,24286,2749916,61,5018,100703,63125647,24286,2749916,0,311270,-93,2322,1,172,-3,51,133500,53572684
2022-02-24,22264,2772180,42,5060,89532,63215179,22264,2772180,0,311270,-136,2186,-13,159,-4,47,125035,53697719
2022-02-25,21442,2793622,29,5089,100549,63315728,21442,2793622,0,311270,-114,2072,0,159,0,47,124697,53822416
2022-02-26,19234,2812856,35,5124,78661,63394389,19234,2812856,0,311270,-47,2025,-9,150,-3,44,123107,53945523
2022-02-27,16315,2829171,27,5151,70824,63465213,16315,2829171,0,311270,-30,1995,-9,141,-5,39,67202,54012725
2022-02-28,16653,2845824,12,5163,58369,63523582,16653,2845824,0,311270,8,2003,-5,136,-3,36,30858,54043583
2022-03-01,21197,2867021,41,5204,69785,63593367,21197,2867021,0,311270,-63,1940,-5,131,0,36,103432,54147015
2022-03-02,25305,2892326,61,5265,98154,63691521,25305,2892326,0,311270,-36,1904,-10,121,-5,31,91405,54238420
2022-03-03,28377,2920703,47,5312,94936,63786457,28377,2920703,0,311270,-67,1837,-3,118,-2,29,87550,54325970
2022-03-04,25031,2945734,38,5350,92085,63878542,25031,2945734,0,311270,-84,1753,-6,112,4,33,87444,54413414
2022-03-05,23372,2969106,52,5402,80346,63958888,23372,2969106,0,311270,-1,1752,0,112,2,35,92169,54505583
2022-03-06,20134,2989240,13,5415,70039,64028927,20134,2989240,0,311270,-15,1737,1,113,-3,32,51889,54557472
2022-03-07,21522,3010762,33,5448,65023,64093950,21522,3010762,0,311270,72,1809,4,117,-1,31,22939,54580411
2022-03-08,28432,3039194,17,5465,71498,64165448,28432,3039194,0,311270,-21,1788,-5,112,-2,29,78829,54659240
